"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.585390992,      -3.686229343,      -4.156979512,      -2.989013848
          0,           0,           1,      -3.863095481,      -3.741307889,      -3.749416888,      -3.237457179
          0,           0,           2,      -3.785913655,      -3.778608617,      -3.729869075,      -3.196622315
          0,           0,           3,      -3.716426845,      -3.759298976,      -3.698786849,      -3.123870886
          0,           0,           4,      -3.665791634,      -3.675179492,      -3.663578668,      -3.073833919
          0,           0,           5,      -3.647362607,      -3.716510376,      -3.657262687,      -3.065049848
          0,           0,           6,      -3.635190801,      -3.737523683,      -3.662120431,      -3.058289287
          0,           0,           7,      -3.626404196,      -3.701954827,      -3.664482399,      -3.049718919
          0,           0,           8,      -3.632665588,      -3.706413546,      -3.671811555,       -3.05820599
          0,           0,           9,      -3.640399929,      -3.739437034,      -3.687871149,      -3.070035407
          0,           0,          10,      -3.647266061,       -3.76903237,      -3.711684242,      -3.079817111
          0,           0,          11,      -3.657504478,      -3.788123784,      -3.732935705,      -3.091137249
          0,           0,          12,      -3.670475916,      -3.795599086,      -3.752499742,      -3.102905435
          0,           0,          13,        -3.6897074,      -3.803185864,      -3.771770821,      -3.119464869
          0,           0,          14,      -3.714078485,      -3.822222017,      -3.795411067,       -3.14156668
          0,           0,          15,      -3.739141037,      -3.852791816,      -3.827857177,      -3.166673435
          0,           0,          16,      -3.762643574,      -3.887173073,      -3.865367677,      -3.192848187
          0,           0,          17,      -3.784598719,      -3.916240815,      -3.899939329,      -3.218388654
          0,           0,          18,      -3.806298283,      -3.937340373,      -3.928864385,      -3.242549386
          0,           0,          19,      -3.829636502,      -3.956175498,      -3.956884467,      -3.266637351
          0,           0,          20,      -3.855791416,      -3.980295812,      -3.989393125,      -3.292785651
          0,           0,          21,      -3.884617737,      -4.013587364,      -4.027128095,      -3.322261199
          0,           0,          22,      -3.915206285,      -4.055347796,      -4.066860921,      -3.354830709
          0,           0,          23,      -3.945569104,      -4.101397652,      -4.105021481,       -3.38799631
          0,           0,          24,      -3.974274615,      -4.146203196,      -4.140240026,      -3.419139451
          0,           0,          25,      -4.000486914,      -4.185740781,      -4.173231831,      -3.446669493
          0,           0,          26,      -4.024711084,      -4.219558042,      -4.205564455,      -3.471348275
          0,           0,          27,      -4.049071281,      -4.250005745,      -4.238720048,      -3.496107194
          0,           0,          28,      -4.074406982,        -4.2799763,      -4.273750448,      -3.522416874
          0,           0,          29,      -4.101910475,      -4.311587973,      -4.311039336,      -3.551659137
          0,           0,          30,      -4.132587888,      -4.346043256,      -4.349996475,      -3.584668751
          0,           0,          31,      -4.165852233,      -4.383795436,      -4.389283939,      -3.620395914
          0,           0,          32,      -4.201893681,       -4.42433937,      -4.427458949,      -3.658539944
          0,           0,          33,      -4.240652339,      -4.466142344,      -4.463696102,      -3.698594229
          0,           0,          34,       -4.28162203,      -4.507157094,      -4.498200812,      -3.739806649
          0,           0,          35,      -4.323061205,      -4.546085495,      -4.531967749,         -3.780439
          0,           0,          36,      -4.363917588,      -4.582654603,      -4.566012124,      -3.819818091
          0,           0,          37,      -4.403389095,      -4.617361294,      -4.601053976,      -3.857661491
          0,           0,          38,      -4.440635008,      -4.651356352,      -4.637390879,      -3.893582628
          0,           0,          39,      -4.474908457,       -4.68585753,      -4.675132324,      -3.927258363
          0,           0,          40,      -4.505474684,      -4.721634018,       -4.71418772,      -3.958199025
          0,           0,          41,      -4.532004829,      -4.758775612,      -4.753970857,      -3.985981621
          0,           0,          42,      -4.555019589,      -4.796563891,      -4.793450903,      -4.010813413
          0,           0,          43,      -4.575775134,      -4.833713049,      -4.831380876,      -4.033542943
          0,           0,          44,      -4.595971499,      -4.869305113,      -4.866974033,      -4.055540384
          0,           0,          45,      -4.617299004,      -4.903268726,      -4.899888868,      -4.078392132
          0,           0,          46,      -4.640712929,      -4.936749953,       -4.93067314,      -4.102931755
          0,           0,          47,      -4.666516076,       -4.97077414,      -4.960308703,      -4.129393276
          0,           0,          48,       -4.69463194,      -5.005728913,      -4.989967142,      -4.157758964
          0,           0,          49,      -4.724364925,      -5.041906319,      -5.020815329,      -4.187403277
          0,           0,          50,      -4.755691938,      -5.078791341,      -5.053761213,      -4.218410864
          0,           0,          51,      -4.788376418,      -5.116297213,      -5.089281523,      -4.250663662
          0,           0,          52,      -4.821460411,      -5.154374643,      -5.127399511,      -4.283298943
          0,           0,          53,      -4.854621577,      -5.192634981,       -5.16776995,      -4.316192532
